order_id,restaurant_name,city,category,order_value,delivery_time_mins,rating,order_date,time_slot,is_reorder,discount_applied,platform
101569,Sweet Truth,Hyderabad,Desserts,745.02,46.0,,2024-12-18 19:51:00,dinner,False,97.73,iOS
101963,Dum Pukht,Kolkata,Biryani,114.67,69.0,3.9,2024-10-26 13:16:00,lunch,False,,Android
101693,Sweet Truth,Delhi,Desserts,243.78,18.0,3.3,2024-10-01 21:54:00,dinner,False,58.94,Android
101873,Behrouz Biryani,Delhi,Biryani,274.41,35.0,3.6,2024-10-30 18:50:00,snacks,False,101.67,Web
100263,Raw Pressery Kitchen,Bangalore,Healthy,343.46,32.0,,2024-12-22 12:07:00,lunch,False,13.51,Android
100936,Paradise Biryani,Mumbai,Biryani,398.93,44.0,3.4,2024-12-14 12:33:00,lunch,True,91.12,Android
100916,Burger King,Delhi,Burger,755.67,36.0,3.4,2024-11-14 23:05:00,dinner,False,36.92,Android
101096,Wat-A-Burger,Bangalore,Burger,372.85,34.0,2.8,2024-11-27 12:53:00,lunch,True,,iOS
100706,Wraps N Rolls,Surat,Rolls & Wraps,683.16,46.0,3.4,2024-10-17 12:29:00,lunch,False,,iOS
100502,Baskin Robbins,Hyderabad,Desserts,801.46,47.0,,2024-12-05 17:38:00,snacks,True,,Android
101451,Wok To Walk,Delhi,Chinese,520.62,,4.0,2024-11-09 13:22:00,lunch,True,,iOS
100111,Bawarchi,Mumbai,Biryani,140.91,40.0,,2024-11-05 18:06:00,snacks,True,,Web
101835,Chinese Box,Pune,Chinese,220.47,42.0,4.8,2024-11-15 23:14:00,dinner,False,,Android
100545,Behrouz Biryani,Hyderabad,Biryani,363.59,40.0,2.9,2024-12-09 13:20:00,lunch,True,,Android
101900,Roll House,Pune,Rolls & Wraps,644.46,40.0,,2024-12-01 16:01:00,snacks,False,67.06,Web
101720,Dhaba Express,Mumbai,North Indian,261.74,32.0,3.8,2024-10-11 12:59:00,lunch,False,,Web
100109,Punjab Grill,Mumbai,North Indian,432.57,50.0,,2024-12-25 19:00:00,dinner,True,19.41,Android
101528,Sweet Truth,Mumbai,Desserts,195.42,45.0,3.4,2024-11-19 10:07:00,breakfast,False,,iOS
101890,Murugan Idli Shop,Lucknow,South Indian,282.87,67.0,3.5,2024-11-01 15:06:00,snacks,True,93.67,Android
101082,Freshmenu,Bangalore,Healthy,233.23,19.0,2.7,2024-12-14 14:47:00,lunch,False,,iOS
101536,Paradise Biryani,Bangalore,Biryani,333.98,54.0,4.4,2024-10-01 12:30:00,lunch,False,,iOS
101875,Empire Restaurant,Chennai,Biryani,772.82,53.0,4.1,2024-11-07 12:26:00,,False,,iOS
101157,Chai Point,Bangalore,Beverages,255.09,43.0,3.7,2024-12-17 12:42:00,lunch,True,,Android
101664,Behrouz Biryani,Delhi,Biryani,275.85,39.0,3.2,2024-10-12 17:00:00,snacks,False,,Android
101993,Sweet Truth,Hyderabad,Desserts,539.8,33.0,4.7,2024-12-04 18:41:00,,True,111.85,Android
100309,Behrouz Biryani,Pune,Biryani,488.27,37.0,3.5,2024-10-24 22:29:00,dinner,False,,iOS
100354,Green Bowl,Bangalore,Healthy,861.24,24.0,3.9,2024-11-15 22:50:00,dinner,False,,iOS
101191,Saffron,Bangalore,North Indian,256.9,70.0,4.0,2024-11-18 13:07:00,lunch,True,48.04,iOS
101042,Bay Leaf,Pune,Seafood,220.34,24.0,4.2,2024-11-27 18:00:00,snacks,False,16.71,Android
101765,Wok To Walk,Bangalore,Chinese,621.54,23.0,3.4,2024-10-04 20:57:00,dinner,True,,iOS
100262,Pizza Hut,Lucknow,Pizza,724.73,20.0,,2024-11-03 20:57:00,dinner,True,,Web
100985,China Town,Chennai,Chinese,594.43,,3.9,2024-10-03 18:36:00,snacks,True,80.64,iOS
100427,Behrouz Biryani,Delhi,Biryani,205.94,36.0,2.9,2024-12-27 12:13:00,lunch,False,,Web
101955,Moti Mahal,Kochi,North Indian,608.41,56.0,4.6,2024-10-01 09:21:00,breakfast,True,46.85,Web
100230,Barbeque Nation,Hyderabad,North Indian,437.04,50.0,3.8,2024-12-07 13:29:00,lunch,True,83.79,Android
101936,Wok To Walk,Pune,Chinese,211.98,67.0,5.0,2024-11-05 22:44:00,dinner,True,60.24,Android
101839,Chai Point,Ahmedabad,Beverages,253.4,28.0,4.5,2024-10-19 16:56:00,snacks,True,,Android
101114,Dum Pukht,Hyderabad,Biryani,143.79,44.0,2.7,2024-10-06 19:59:00,dinner,False,114.47,Android
100591,Wraps N Rolls,Bangalore,Rolls & Wraps,186.37,62.0,4.5,2024-10-07 15:17:00,snacks,True,,Android
101125,La Folie,Chennai,Desserts,294.93,41.0,4.1,2024-10-19 19:21:00,dinner,False,106.08,Android
100279,Dominos,Chennai,Pizza,300.68,52.0,3.4,2024-10-05 12:14:00,lunch,True,12.35,iOS
100260,Udupi Palace,Bangalore,South Indian,680.65,,4.0,2024-10-18 12:08:00,lunch,False,,Android
100769,Mainland China,Mumbai,Chinese,634.55,34.0,3.7,2024-12-22 20:56:00,dinner,True,54.85,Web
101960,Empire Restaurant,Pune,Biryani,819.9,56.0,3.4,2024-12-27 21:03:00,dinner,True,115.32,Android
101887,Chai Point,Bangalore,Beverages,488.42,34.0,,2024-12-10 15:13:00,snacks,False,,Android
101543,Behrouz Biryani,Hyderabad,Biryani,770.07,26.0,3.8,2024-11-16 19:00:00,dinner,False,80.03,iOS
100526,Dhaba Express,Delhi,North Indian,345.11,51.0,3.5,2024-12-06 14:23:00,,False,,Web
101279,Udupi Palace,Bangalore,South Indian,629.3,40.0,,2024-10-15 22:47:00,dinner,True,,iOS
101344,Dum Pukht,Chennai,Biryani,263.41,59.0,4.1,2024-11-16 14:38:00,lunch,True,81.67,Android
100604,Punjab Grill,Bangalore,North Indian,400.93,36.0,3.7,2024-11-01 12:09:00,lunch,True,,iOS
101941,Baskin Robbins,Bangalore,Desserts,318.32,37.0,4.7,2024-10-01 13:58:00,lunch,False,,Android
100929,La Folie,Hyderabad,Desserts,206.53,42.0,4.4,2024-11-03 21:32:00,dinner,False,93.85,iOS
100962,Saravana Bhavan,Hyderabad,South Indian,685.16,67.0,3.8,2024-12-06 12:25:00,lunch,True,43.89,Android
